economy,series,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024
ABW,SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.349670410156,115.669448852539,115.985000610352,117.217170715332,116.929039001465,117.987739562988,116.970039367676,116.013900756836,117.527481079102,119.795837402344,106.374038696289,104.07494354248,114.985320023488,116.261992182873,115.01140867059,113.637463697967,,107.985168457031,108.025001525879,107.235336303711,108.599510192871,102.620727539062,,107.716996929947
ABW,SE.PRM.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.178176879883,112.701797485352,112.163436889648,114.564247131348,114.752197265625,116.870246887207,115.377548217773,113.528038024902,114.756820678711,117.757690429688,104.978561401367,105.428016662598,113.409687425435,114.785140991211,115.664439495175,,,108.680381774902,108.657241821289,107.233497619629,110.376373291016,103.966537475586,,109.52380952381
ABW,SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.488388061523,118.579742431641,119.748779296875,119.765342712402,119.042266845703,119.073196411133,118.516036987305,118.459770202637,120.277908325195,121.813781738281,107.715202331543,102.776496887207,116.512488436633,117.553191489362,114.39570695287,,,107.309936523438,107.404663085938,107.237182617188,106.859481811523,101.311988830566,,106.005434782609
ABW,SE.SEC.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.5565338134766,100.163063049316,101.929069519043,100.940940856934,99.2053527832031,99.8657531738281,106.236473083496,97.0627517700195,99.1602172851562,98.2207412719727,96.633918762207,108.976188659668,,,,,,137.829788208008,139.320587158203,135.124725341797,123.625907897949,131.802169799805,,124.379366731084
ABW,SE.SEC.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6474304199219,102.293441772461,104.977783203125,101.585006713867,100.781471252441,100.671501159668,108.43962097168,100.322486877441,100.752082824707,100.190170288086,98.8285369873047,109.055122375488,,,,,,144.720138549805,145.138092041016,143.255950927734,134.622039794922,137.287643432617,,128.74852420307
ABW,SE.SEC.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4439010620117,97.9970092773438,98.8703918457031,100.290870666504,97.6323089599609,99.0606536865234,104.046401977539,93.8445205688477,97.5919570922852,96.3099594116211,94.5088882446289,108.898628234863,,,,,,131.166290283203,133.686264038086,127.464012145996,113.229682922363,126.545249938965,,119.946091644205
ABW,SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.8601303100586,28.5816898345947,30.3779106140137,30.352689743042,36.204231262207,34.2268714904785,34.8968086242676,35.0970611572266,34.4308586120605,36.0625305175781,37.8648109436035,38.8641815185547,17.1258697509766,17.7518997192383,16.7312393188477,17.1416206359863,,,,,,,,14.0655418559377
ABW,SE.TER.ENRR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.1515197753906,34.9056587219238,36.363639831543,36.7873802185059,43.0869293212891,41.0064888000488,40.7372703552246,41.1839218139648,40.9134483337402,42.2370109558105,45.6057815551758,46.8903884887695,23.8380794525146,24.8597602844238,23.670919418335,22.8059902191162,,,,,,,,19.9932111337407
ABW,SE.TER.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.6375198364258,22.3880596160889,24.4956798553467,24.0,29.2573394775391,27.3535194396973,29.0453796386719,29.1421508789062,28.1798591613769,30.166410446167,30.6682205200195,31.407320022583,10.8396501541138,11.0083999633789,10.2443103790283,11.6916103363037,,,,,,,,8.63890615288999
AFE,SE.PRM.ENRR,,,,,,,,,,,61.9125595092773,58.6986808776855,59.4477310180664,60.6062698364258,64.0002288818359,66.2727508544922,67.7546005249023,69.5916595458984,70.6764907836914,73.4606781005859,76.4969482421875,78.2030715942383,78.6128768920898,78.3322906494141,77.4735794067383,75.094482421875,74.7373123168945,73.1920700073242,72.7201766967773,74.4006576538086,72.1852264404297,73.7330932617188,72.3650207519531,73.0594177246094,73.0542297363281,74.8263092041016,74.5785598754883,77.6953811645508,77.9961624145508,76.9597015380859,78.7628173828125,81.4848709106445,83.9098205566406,87.5231781005859,89.6281967163086,92.893928527832,95.3214797973633,98.4766082763672,102.146499633789,101.704643249512,101.005401611328,100.985237121582,101.240112304688,100.529190063477,100.930152893066,99.6975326538086,100.342109680176,101.228408813477,102.624809265137,103.610618591309,104.591941833496,103.366081237793,100.50830078125,100.85758972168,101.309242248535
